,test_acc,bayes_test_acc,dataset,bayesian_approx,inside_labels,num_epochs,Bayesian entropy AUC,Classical entropy AUC,Bayesian prediction AUC
test_mnist_2labels_1,0.99853515625,0.998977661133,mnist,dropout,"[0, 1]",100.0,0.966881587913,0.957672878092,0.930037505555
test_mnist_2labels_2,0.98095703125,0.978591918945,mnist,dropout,"[2, 7]",100.0,0.779346519887,0.80180238507,0.805026111698
test_mnist_2lavels_3,0.9828125,0.976725260417,mnist,dropout,"[8, 9]",100.0,0.624305206983,0.640081435131,0.694559494812
test_mnist_5labels_1,0.980879934211,0.972502055921,mnist,dropout,"[0, 2, 4, 6, 8]",100.0,0.844931219751,0.869434423688,0.924431960846
test_mnist_5labels_2,0.981169871795,0.972731370192,mnist,dropout,"[1, 3, 5, 7, 9]",100.0,0.863740580987,0.884263763736,0.897626767546
test_mnist_5labels_3,0.98203125,0.974102783203,mnist,dropout,"[0, 1, 2, 3, 4]",100.0,0.914727977982,0.917970674425,0.927945811082
test_mnist_8labels_1,0.980404713115,0.965191950564,mnist,dropout,"[2, 3, 4, 5, 6, 7, 8, 9]",100.0,0.948705910236,0.94590644349,0.980117434454
test_mnist_8labels_2,0.980972782258,0.969762002268,mnist,dropout,"[0, 1, 3, 4, 5, 6, 8, 9]",100.0,0.899145761214,0.917878856157,0.963469958867
test_mnist_8labels_3,0.981980846774,0.9717781313,mnist,dropout,"[0, 1, 2, 3, 4, 5, 6, 7]",100.0,0.936273943735,0.939349252883,0.965231094701
test_mnist_2labels_1,0.9990234375,0.99870300293,mnist,dropout,"[0, 1]",100.0,0.949141164272,0.949609480077,0.915680758406
test_mnist_2labels_2,0.98291015625,0.980514526367,mnist,dropout,"[2, 7]",100.0,0.754974219941,0.779141562078,0.798856284219
test_mnist_2lavels_3,0.984895833333,0.980452473958,mnist,dropout,"[8, 9]",100.0,0.648534044473,0.678647772402,0.711826159836
test_mnist_5labels_1,0.980674342105,0.973966899671,mnist,dropout,"[0, 2, 4, 6, 8]",100.0,0.853668706972,0.878306902878,0.915692872296
test_mnist_5labels_2,0.980969551282,0.973607772436,mnist,dropout,"[1, 3, 5, 7, 9]",100.0,0.886410584395,0.900091211655,0.908614120896
test_mnist_5labels_3,0.9828125,0.976324462891,mnist,dropout,"[0, 1, 2, 3, 4]",100.0,0.896693683263,0.906394055868,0.928779235336
test_mnist_8labels_1,0.980532786885,0.966640785092,mnist,dropout,"[2, 3, 4, 5, 6, 7, 8, 9]",100.0,0.951922263368,0.945177781069,0.980091601244
test_mnist_8labels_2,0.980594758065,0.969037455897,mnist,dropout,"[0, 1, 3, 4, 5, 6, 8, 9]",100.0,0.919055687073,0.929112885055,0.968326520102
test_mnist_8labels_3,0.981728830645,0.970246345766,mnist,dropout,"[0, 1, 2, 3, 4, 5, 6, 7]",100.0,0.919559007238,0.933829914669,0.959175425036
test_mnist_2labels_1,0.9990234375,0.998321533203,mnist,dropout,"[0, 1]",100.0,0.910446689379,0.90134771145,0.912705791735
test_mnist_2labels_2,0.984375,0.981719970703,mnist,dropout,"[2, 7]",100.0,0.779240809941,0.800907935049,0.808117914264
test_mnist_2lavels_3,0.983333333333,0.979524739583,mnist,dropout,"[8, 9]",100.0,0.638218773962,0.663200143501,0.723224357968
test_mnist_5labels_1,0.980674342105,0.974879214638,mnist,dropout,"[0, 2, 4, 6, 8]",100.0,0.845169016989,0.87218718694,0.917047035493
test_mnist_5labels_2,0.980969551282,0.971504407051,mnist,dropout,"[1, 3, 5, 7, 9]",100.0,0.843759447836,0.859740383063,0.896048338334
test_mnist_5labels_3,0.981640625,0.974859619141,mnist,dropout,"[0, 1, 2, 3, 4]",100.0,0.88354185762,0.898249184239,0.926724352698
test_mnist_8labels_1,0.980917008197,0.966464683658,mnist,dropout,"[2, 3, 4, 5, 6, 7, 8, 9]",100.0,0.928490830988,0.931304873352,0.977863072137
test_mnist_8labels_2,0.980720766129,0.967545047883,mnist,dropout,"[0, 1, 3, 4, 5, 6, 8, 9]",100.0,0.870608830768,0.898245946444,0.963804036437
test_mnist_8labels_3,0.982610887097,0.972467237903,mnist,dropout,"[0, 1, 2, 3, 4, 5, 6, 7]",100.0,0.942571732407,0.946166821151,0.967908132838
